colony,head_width,source
17-31,1573.51,foragers
17-31,1406.14,foragers
17-31,1228.18,foragers
17-31,1188.18,foragers
17-31,1296.1,foragers
17-31,1256.71,foragers
17-31,1370.12,foragers
17-31,1216.78,foragers
17-31,1408.99,foragers
17-31,1231.91,foragers
17-31,1339,foragers
17-31,1573.18,foragers
17-31,1563.17,foragers
17-31,1377.87,foragers
17-31,1218.39,foragers
17-31,1516.75,foragers
17-31,1159.98,foragers
17-31,1390.56,foragers
17-31,1387.44,foragers
17-31,1290.01,foragers
17-31,1471.99,foragers
17-31,1236.74,foragers
17-31,1379.42,foragers
17-31,1269.24,foragers
17-14,1240.84,foragers
17-14,1297.24,foragers
17-14,1260.29,foragers
17-14,1319.13,foragers
17-14,1436.66,foragers
17-14,1181.4,foragers
17-14,1372.22,foragers
17-14,1341.42,foragers
17-14,1333.27,foragers
17-14,1179.5,foragers
17-14,1148.15,foragers
17-14,1176.5,foragers
17-14,1271.52,foragers
17-14,1287.09,foragers
17-14,1407.15,foragers
17-14,1338.93,foragers
17-14,1336.97,foragers
17-14,1136.81,foragers
17-14,1179.44,foragers
17-14,1365.12,foragers
17-14,1124.83,foragers
17-14,1353.24,foragers
17-14,1478.98,foragers
17-14,1346.9,foragers
17-14,1245.31,foragers
17-14,1302.54,foragers
17-14,1068.43,foragers
17-14,1225.13,foragers
17-14,1197.96,foragers
17-14,1201.2,foragers
17-14,1242.27,foragers
17-12,1121.96,foragers
17-12,1092.92,foragers
17-12,1166.07,foragers
17-12,1103.67,foragers
17-12,1137.46,foragers
17-12,1299.2,foragers
17-12,1083.2,foragers
17-12,1272.42,foragers
17-12,1316.62,foragers
17-12,1187.19,foragers
17-12,1300.46,foragers
17-12,1268.26,foragers
17-12,1364.96,foragers
17-12,1059.6,foragers
17-12,1195.91,foragers
17-12,1102.21,foragers
17-12,1272.27,foragers
17-12,1245.88,foragers
17-12,1128.84,foragers
17-12,1037.36,foragers
17-12,1129.18,foragers
17-12,1060.53,foragers
17-12,1141.61,foragers
17-28,1146.61,foragers
17-28,1260.33,foragers
17-28,1029.13,foragers
17-28,1156.51,foragers
17-28,1232,foragers
17-28,1234.73,foragers
17-28,1226.11,foragers
17-28,1210.5,foragers
17-28,1027.78,foragers
17-28,1150.49,foragers
17-28,1073.13,foragers
17-28,1214.15,foragers
17-28,1047.92,foragers
17-28,1069.17,foragers
17-28,1357.24,foragers
17-28,1158.78,foragers
17-33,1224.67,foragers
17-33,1423.17,foragers
17-33,1138.69,foragers
17-33,1273.41,foragers
17-33,1273.82,foragers
17-33,1108,foragers
17-33,1272.76,foragers
17-33,1234.41,foragers
17-33,1252.94,foragers
17-33,1214.17,foragers
17-33,1230.95,foragers
17-33,1154.92,foragers
17-33,1409.27,foragers
17-33,1225.93,foragers
17-33,1021.59,foragers
17-33,1255.8,foragers
17-33,1441.67,foragers
17-33,1171.35,foragers
17-33,1259.12,foragers
17-33,1350.82,foragers
17-33,1270.68,foragers
17-33,1356.75,foragers
17-33,1386.2,foragers
17-33,1287.17,foragers
17-33,1220.31,foragers
17-33,1333.37,foragers
17-33,1450.36,foragers
17-18,1187.89,foragers
17-18,1479.32,foragers
17-18,1131.65,foragers
17-18,1189.93,foragers
17-18,1268.7,foragers
17-18,1171.39,foragers
17-18,1275.5,foragers
17-18,1152.51,foragers
17-18,1242.53,foragers
17-18,1122.11,foragers
17-18,1172.17,foragers
17-18,1283.79,foragers
17-18,1150.2,foragers
17-18,1294.72,foragers
17-18,1104.25,foragers
17-18,1292,foragers
17-18,1170.28,foragers
17-18,1396.31,foragers
17-18,1222.79,foragers
17-18,1244.99,foragers
17-18,1235.34,foragers
17-18,1149.23,foragers
17-18,1162.89,foragers
17-18,1131.1,foragers
17-18,1314.12,foragers
17-18,1235.92,foragers
17-18,1174.89,foragers
17-18,1075.81,foragers
17-18,1199.12,foragers
17-18,1143.15,foragers
17-18,1119.5,foragers
17-18,1146.25,foragers
17-18,1104.49,foragers
17-18,1363.88,foragers
17-18,1143.38,foragers
17-18,1182.52,foragers
17-18,1242.65,foragers
17-18,1278.9,foragers
17-15,1324,foragers
17-15,1093.41,foragers
17-15,1245.98,foragers
17-15,1119.11,foragers
17-15,1171.09,foragers
17-15,1118.29,foragers
17-15,1133.73,foragers
17-15,1106.63,foragers
17-15,1095.32,foragers
17-15,1143.56,foragers
17-15,1068.47,foragers
17-15,1258.06,foragers
17-15,1351.73,foragers
17-15,1190.91,foragers
17-15,1129.84,foragers
17-15,1157.16,foragers
17-15,1069.03,foragers
17-15,1091.91,foragers
17-15,1122.25,foragers
17-15,1238.66,foragers
17-15,1328.42,foragers
17-15,1173.12,foragers
17-15,1200.82,foragers
17-15,1256.28,foragers
17-15,1210.86,foragers
17-15,1140.12,foragers
17-15,1267.85,foragers
17-15,1163.27,foragers
17-15,1234.26,foragers
17-15,1144.54,foragers
17-15,1214.44,foragers
17-15,1354.65,foragers
17-15,1152.04,foragers
17-17,1227.4,corpses
17-17,1139.38,corpses
17-17,1236.3,corpses
17-17,1167.9,corpses
17-17,1338.93,corpses
17-17,1272.88,corpses
17-17,1403.81,corpses
17-17,1255.84,corpses
17-17,1344.03,corpses
17-17,1526.1,corpses
17-17,1310.79,corpses
17-17,1293.71,corpses
17-17,1293.54,corpses
17-17,1255.62,corpses
17-17,1365.12,corpses
17-17,1380.32,corpses
17-17,1156.07,corpses
17-17,1481.18,corpses
17-17,1320.89,corpses
17-17,1332.09,corpses
17-17,1410.28,corpses
17-17,1304.85,corpses
17-17,1495.61,corpses
17-17,1502.86,corpses
17-17,1338.13,corpses
17-17,1214.49,corpses
17-17,1278.92,corpses
17-17,1605.81,corpses
17-17,1372.55,corpses
17-17,1355.4,corpses
17-17,1469.58,corpses
17-17,1319.75,corpses
17-17,1467.41,corpses
17-17,1511.83,corpses
17-17,1442.73,corpses
17-17,1589.46,corpses
17-17,1437.68,corpses
17-17,1370.43,corpses
17-17,1387.88,corpses
17-17,1150.85,corpses
17-17,1394.7,corpses
17-17,1411.66,corpses
17-17,1484.79,corpses
17-17,1277.91,corpses
17-17,1385.04,corpses
17-17,1398.78,corpses
17-17,1483.67,corpses
17-17,1507.91,corpses
17-17,1368.55,corpses
17-17,1409.08,corpses
17-17,1072.51,corpses
17-17,1389.13,corpses
17-17,1181.93,corpses
17-17,1179.55,corpses
17-17,1217.43,corpses
17-17,1437.83,corpses
17-17,1351.61,corpses
17-17,1258.92,corpses
17-17,1339.9,corpses
17-17,1502.42,corpses
17-17,1490.36,corpses
17-17,1196.52,corpses
17-17,1433.03,corpses
17-17,1554.54,corpses
17-17,1433.17,corpses
17-17,1294.76,corpses
17-17,1291.17,corpses
17-17,1301.88,corpses
17-17,1411.55,corpses
17-17,1223,corpses
17-17,1324.12,corpses
17-17,1262.13,corpses
17-17,1218.38,corpses
17-17,1317.19,corpses
17-17,1255.8,corpses
17-17,1461.75,corpses
17-17,1261.32,corpses
17-17,1088.24,foragers
17-17,1121.85,foragers
17-17,1155.78,foragers
17-17,1209.49,foragers
17-17,1084.2,foragers
17-17,1141.96,foragers
17-17,1177.42,foragers
17-17,1204.63,foragers
17-17,1159.85,foragers
17-17,1255.94,foragers
17-17,1325.6,foragers
17-17,1207.91,foragers
17-17,1227.17,foragers
17-17,1321.74,foragers
17-17,1224.2,foragers
17-17,1178.02,foragers
17-17,1319.09,foragers
17-17,1202.19,foragers
17-17,1335.17,foragers
17-17,1243.02,foragers
17-17,1255.78,foragers
17-17,1357.72,foragers
17-17,1272.76,foragers
17-17,1365.32,foragers
17-17,1304.2,foragers
17-17,1422.4,foragers
17-17,1378.92,foragers
17-17,1354.88,foragers
17-17,1321.61,foragers
17-17,1439.19,foragers
17-17,1364.07,foragers
17-17,1337.27,foragers
17-17,1373.42,foragers
17-17,1392.36,foragers
17-17,1456.73,foragers
17-19,1259.96,colony
17-19,1382.61,colony
17-19,1141.68,colony
17-19,1118.86,colony
17-19,1395.09,colony
17-19,1194.98,colony
17-19,1265.06,colony
17-19,1132.47,colony
17-19,1326.19,colony
17-19,1215.09,colony
17-19,1278.08,colony
17-19,1352.61,colony
17-19,1111.38,colony
17-19,1206.03,colony
17-19,1287.57,colony
17-19,1270.51,colony
17-19,1102,colony
17-19,1403.94,colony
17-19,1321.92,colony
17-19,1218.52,colony
17-19,1341.72,colony
17-19,1279.75,colony
17-19,1279.75,colony
17-19,1427.97,colony
17-19,1268.33,colony
17-19,1070.17,colony
17-19,1320.87,colony
17-19,1378.69,colony
17-19,1340.94,colony
17-19,1319.03,colony
17-19,1309.16,colony
17-19,1103.25,colony
17-19,1220.91,colony
17-19,1270.05,colony
17-19,1269.17,colony
17-19,1348.19,colony
17-19,1282.99,colony
17-19,1260.86,colony
17-19,1186.91,colony
17-19,1178.2,colony
17-19,1341.3,colony
17-19,1319.97,colony
17-19,1259.98,colony
17-19,1211.49,colony
17-19,1322.71,colony
17-19,1379.05,colony
17-19,1130.51,colony
17-19,1285.71,colony
17-19,1090.62,colony
